paretoRank,paretoCriterion,rank,overallScore,modelUncertaintyBand,policyDelivery,publicAlignment,rightsSafeguard,captureResistance,legitimacy,complexityScore,resilienceFloor,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture,tradeoffNote
1076,exact,6143,0.589,0.101,0.633,0.495,0.737,0.486,0.567,0.779,0.486,portfolio-hybrid-legislature,Portfolio hybrid legislature,legislative-override-window,Time-limited legislative override window,open-access-lobbying,Open access lobbying,weak subsystem floor
1077,exact,6158,0.589,0.093,0.493,0.514,0.732,0.635,0.594,0.712,0.619,citizen-assembly-threshold,Citizen assembly threshold gate,accountability-retention-court,Retention-election accountability court,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1078,exact,6160,0.589,0.101,0.633,0.493,0.741,0.486,0.561,0.785,0.486,portfolio-hybrid-legislature,Portfolio hybrid legislature,term-limited-balanced,18-year staggered terms + regular appointments,open-access-lobbying,Open access lobbying,weak subsystem floor
1079,exact,6168,0.589,0.096,0.527,0.508,0.722,0.588,0.604,0.809,0.588,influence-system-majority,Campaign-finance influence system,emergency-integrity-package,Emergency integrity package,democracy-vouchers,Democracy vouchers,balanced tradeoff
1080,exact,6192,0.589,0.093,0.493,0.511,0.736,0.635,0.591,0.711,0.619,citizen-assembly-threshold,Citizen assembly threshold gate,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1081,exact,6198,0.589,0.093,0.493,0.513,0.732,0.635,0.595,0.711,0.619,citizen-assembly-threshold,Citizen assembly threshold gate,legislative-override,Judicial review with legislative supermajority override,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1082,exact,6199,0.589,0.093,0.493,0.513,0.732,0.635,0.594,0.711,0.619,citizen-assembly-threshold,Citizen assembly threshold gate,legislative-override-window,Time-limited legislative override window,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1083,exact,6210,0.589,0.096,0.527,0.482,0.724,0.623,0.591,0.776,0.590,influence-system-majority,Campaign-finance influence system,emergency-restraint-court,No emergency relief without merits review,randomized-audit-sanctions,Randomized audit and sanctions,balanced tradeoff
1084,exact,6214,0.589,0.093,0.493,0.511,0.736,0.635,0.588,0.717,0.619,citizen-assembly-threshold,Citizen assembly threshold gate,term-limited-balanced,18-year staggered terms + regular appointments,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1085,exact,6216,0.589,0.096,0.534,0.506,0.717,0.602,0.558,0.824,0.601,anti-capture-majority-bundle,Majority + anti-capture bundle,supermajority-review,60 percent invalidation threshold,democracy-vouchers,Democracy vouchers,balanced tradeoff
1086,exact,6223,0.589,0.093,0.521,0.516,0.703,0.629,0.577,0.736,0.603,district-population-majority,District-population public-will model,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1087,exact,6230,0.589,0.093,0.499,0.509,0.733,0.635,0.581,0.717,0.618,random-public-review-panel-majority,Random public review panel + majority,supermajority-review,60 percent invalidation threshold,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1088,exact,6240,0.589,0.096,0.511,0.480,0.724,0.639,0.587,0.813,0.608,anti-capture-access-majority,Anti-capture proposal access + majority,emergency-restraint-court,No emergency relief without merits review,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1089,exact,6242,0.589,0.096,0.534,0.484,0.724,0.619,0.579,0.782,0.578,anti-capture-majority-bundle,Majority + anti-capture bundle,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1090,exact,6267,0.589,0.097,0.534,0.483,0.726,0.607,0.588,0.812,0.579,anti-capture-majority-bundle,Majority + anti-capture bundle,emergency-restraint-court,No emergency relief without merits review,real-time-transparency,Real-time transparency,balanced tradeoff
1091,exact,6268,0.589,0.101,0.633,0.492,0.742,0.486,0.555,0.786,0.486,portfolio-hybrid-legislature,Portfolio hybrid legislature,supermajority-review,60 percent invalidation threshold,open-access-lobbying,Open access lobbying,weak subsystem floor
1092,exact,6278,0.589,0.094,0.534,0.511,0.715,0.589,0.602,0.749,0.589,anti-capture-majority-bundle,Majority + anti-capture bundle,constitutional-council,Pre-enactment constitutional council,bundle-with-evasion,Anti-capture bundle with evasion,balanced tradeoff
1093,exact,6284,0.588,0.095,0.527,0.482,0.722,0.623,0.592,0.769,0.590,influence-system-majority,Campaign-finance influence system,emergency-integrity-package,Emergency integrity package,randomized-audit-sanctions,Randomized audit and sanctions,balanced tradeoff
1094,exact,6287,0.588,0.094,0.497,0.505,0.723,0.630,0.608,0.761,0.613,public-interest-majority,Majority + public-interest screen,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1095,exact,6293,0.588,0.093,0.521,0.516,0.700,0.629,0.576,0.742,0.603,district-population-majority,District-population public-will model,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1096,exact,6317,0.588,0.096,0.511,0.480,0.722,0.639,0.588,0.806,0.608,anti-capture-access-majority,Anti-capture proposal access + majority,emergency-integrity-package,Emergency integrity package,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1097,exact,6322,0.588,0.093,0.493,0.509,0.738,0.635,0.582,0.717,0.619,citizen-assembly-threshold,Citizen assembly threshold gate,supermajority-review,60 percent invalidation threshold,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1098,exact,6334,0.588,0.095,0.534,0.484,0.712,0.637,0.559,0.778,0.590,anti-capture-majority-bundle,Majority + anti-capture bundle,accountability-retention-court,Retention-election accountability court,randomized-audit-sanctions,Randomized audit and sanctions,balanced tradeoff
1099,exact,6338,0.588,0.096,0.611,0.477,0.653,0.627,0.474,0.786,0.608,risk-routed-majority,Risk-routed majority legislature,current-us-like,Stylized current U.S.-like supreme court,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1100,exact,6365,0.588,0.097,0.534,0.483,0.725,0.607,0.590,0.805,0.579,anti-capture-majority-bundle,Majority + anti-capture bundle,emergency-integrity-package,Emergency integrity package,real-time-transparency,Real-time transparency,balanced tradeoff
1101,exact,6397,0.588,0.096,0.534,0.484,0.725,0.619,0.574,0.764,0.578,anti-capture-majority-bundle,Majority + anti-capture bundle,remand-override-window-package,Constitutional remand with override window,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1102,exact,6407,0.588,0.096,0.534,0.485,0.717,0.619,0.586,0.769,0.578,anti-capture-majority-bundle,Majority + anti-capture bundle,council-concrete-hybrid,Constitutional council with concrete-review backstop,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1103,exact,6454,0.588,0.102,0.730,0.481,0.615,0.482,0.540,0.794,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1104,exact,6456,0.588,0.094,0.484,0.506,0.734,0.634,0.615,0.731,0.611,public-objection-majority,Public objection window + majority,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1105,exact,6461,0.588,0.094,0.475,0.507,0.734,0.650,0.587,0.769,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1106,exact,6463,0.588,0.096,0.534,0.485,0.722,0.619,0.574,0.770,0.578,anti-capture-majority-bundle,Majority + anti-capture bundle,constitutional-remand,Constitutional remand before invalidation,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1107,exact,6468,0.588,0.097,0.588,0.487,0.645,0.647,0.479,0.826,0.608,citizen-initiative-referendum,Citizen initiative and referendum,current-us-like,Stylized current U.S.-like supreme court,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1108,exact,6475,0.588,0.096,0.534,0.486,0.715,0.619,0.584,0.772,0.578,anti-capture-majority-bundle,Majority + anti-capture bundle,constitutional-council,Pre-enactment constitutional council,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1109,exact,6477,0.588,0.095,0.485,0.513,0.737,0.618,0.610,0.772,0.615,committee-regular-order,Committee-first regular order,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1110,exact,6483,0.588,0.102,0.730,0.480,0.617,0.482,0.537,0.794,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,nonpartisan-commission,Nonpartisan commission appointments,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1111,exact,6490,0.588,0.102,0.730,0.479,0.621,0.482,0.533,0.791,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1112,exact,6491,0.588,0.094,0.475,0.506,0.736,0.650,0.584,0.769,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,nonpartisan-commission,Nonpartisan commission appointments,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1113,exact,6494,0.588,0.094,0.475,0.505,0.739,0.650,0.580,0.766,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1114,exact,6510,0.587,0.102,0.730,0.482,0.614,0.482,0.538,0.794,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,accountability-retention-court,Retention-election accountability court,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1115,exact,6519,0.587,0.094,0.475,0.508,0.733,0.650,0.585,0.769,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,accountability-retention-court,Retention-election accountability court,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1116,exact,6541,0.587,0.094,0.484,0.506,0.732,0.634,0.616,0.724,0.611,public-objection-majority,Public objection window + majority,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1117,exact,6543,0.587,0.102,0.730,0.480,0.618,0.482,0.534,0.793,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1118,exact,6553,0.587,0.102,0.730,0.481,0.614,0.482,0.538,0.792,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,legislative-override,Judicial review with legislative supermajority override,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1119,exact,6555,0.587,0.094,0.475,0.506,0.736,0.650,0.582,0.768,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1120,exact,6558,0.587,0.102,0.730,0.481,0.614,0.482,0.538,0.792,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,legislative-override-window,Time-limited legislative override window,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1121,exact,6564,0.587,0.094,0.475,0.507,0.732,0.650,0.585,0.768,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,legislative-override,Judicial review with legislative supermajority override,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1122,exact,6567,0.587,0.094,0.475,0.507,0.733,0.650,0.585,0.768,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,legislative-override-window,Time-limited legislative override window,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1123,exact,6574,0.587,0.094,0.485,0.513,0.735,0.618,0.612,0.765,0.615,committee-regular-order,Committee-first regular order,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1124,exact,6578,0.587,0.102,0.730,0.480,0.618,0.482,0.532,0.798,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,term-limited-balanced,18-year staggered terms + regular appointments,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1125,exact,6585,0.587,0.094,0.475,0.505,0.736,0.650,0.579,0.774,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,term-limited-balanced,18-year staggered terms + regular appointments,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1126,exact,6623,0.587,0.097,0.534,0.483,0.724,0.607,0.578,0.809,0.579,anti-capture-majority-bundle,Majority + anti-capture bundle,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,real-time-transparency,Real-time transparency,balanced tradeoff
1127,exact,6650,0.587,0.096,0.527,0.479,0.711,0.633,0.561,0.816,0.608,influence-system-majority,Campaign-finance influence system,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1128,exact,6677,0.587,0.096,0.527,0.478,0.713,0.633,0.558,0.816,0.608,influence-system-majority,Campaign-finance influence system,nonpartisan-commission,Nonpartisan commission appointments,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1129,exact,6678,0.587,0.102,0.730,0.478,0.620,0.482,0.525,0.799,0.482,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,supermajority-review,60 percent invalidation threshold,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
1130,exact,6683,0.587,0.095,0.461,0.511,0.756,0.626,0.620,0.754,0.623,committee-discharge-target-majority,Committee discharge-petition target,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
1131,exact,6687,0.587,0.096,0.527,0.477,0.716,0.633,0.553,0.813,0.608,influence-system-majority,Campaign-finance influence system,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1132,exact,6690,0.587,0.094,0.475,0.504,0.738,0.650,0.572,0.775,0.633,citizens-agenda-petition-majority,Citizen agenda petitions + majority,supermajority-review,60 percent invalidation threshold,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1133,exact,6693,0.587,0.095,0.499,0.484,0.742,0.623,0.602,0.762,0.608,random-public-review-panel-majority,Random public review panel + majority,emergency-restraint-court,No emergency relief without merits review,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1134,exact,6701,0.587,0.096,0.527,0.480,0.709,0.633,0.558,0.816,0.608,influence-system-majority,Campaign-finance influence system,accountability-retention-court,Retention-election accountability court,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1135,exact,6707,0.587,0.094,0.493,0.510,0.727,0.619,0.607,0.762,0.607,proportional-committee-assignment-majority,Majority + proportional committee assignment,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1136,exact,6730,0.586,0.096,0.511,0.508,0.724,0.595,0.601,0.817,0.595,anti-capture-access-majority,Anti-capture proposal access + majority,emergency-restraint-court,No emergency relief without merits review,democracy-vouchers,Democracy vouchers,balanced tradeoff
1137,exact,6734,0.586,0.094,0.503,0.505,0.716,0.632,0.580,0.760,0.615,harm-weighted-majority,Harm-weighted double majority,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1138,exact,6745,0.586,0.096,0.534,0.483,0.725,0.607,0.573,0.792,0.579,anti-capture-majority-bundle,Majority + anti-capture bundle,remand-override-window-package,Constitutional remand with override window,real-time-transparency,Real-time transparency,balanced tradeoff
1139,exact,6748,0.586,0.097,0.527,0.477,0.713,0.633,0.552,0.821,0.608,influence-system-majority,Campaign-finance influence system,term-limited-balanced,18-year staggered terms + regular appointments,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1140,exact,6751,0.586,0.097,0.534,0.484,0.717,0.607,0.585,0.797,0.579,anti-capture-majority-bundle,Majority + anti-capture bundle,council-concrete-hybrid,Constitutional council with concrete-review backstop,real-time-transparency,Real-time transparency,balanced tradeoff
1141,exact,6753,0.586,0.095,0.634,0.477,0.615,0.622,0.473,0.770,0.608,long-horizon-learning-majority,Long-horizon strategic learning,current-us-like,Stylized current U.S.-like supreme court,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1142,exact,6754,0.586,0.095,0.461,0.511,0.755,0.626,0.621,0.747,0.623,committee-discharge-target-majority,Committee discharge-petition target,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
1143,exact,6762,0.586,0.094,0.499,0.484,0.740,0.623,0.604,0.755,0.608,random-public-review-panel-majority,Random public review panel + majority,emergency-integrity-package,Emergency integrity package,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1144,exact,6767,0.586,0.094,0.503,0.504,0.718,0.632,0.576,0.760,0.615,harm-weighted-majority,Harm-weighted double majority,nonpartisan-commission,Nonpartisan commission appointments,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1145,exact,6785,0.586,0.093,0.484,0.506,0.731,0.634,0.605,0.728,0.611,public-objection-majority,Public objection window + majority,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1146,exact,6797,0.586,0.095,0.493,0.485,0.747,0.623,0.603,0.762,0.608,citizen-assembly-threshold,Citizen assembly threshold gate,emergency-restraint-court,No emergency relief without merits review,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1147,exact,6811,0.586,0.094,0.485,0.513,0.734,0.618,0.600,0.769,0.615,committee-regular-order,Committee-first regular order,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1148,exact,6819,0.586,0.096,0.511,0.508,0.722,0.595,0.602,0.809,0.595,anti-capture-access-majority,Anti-capture proposal access + majority,emergency-integrity-package,Emergency integrity package,democracy-vouchers,Democracy vouchers,balanced tradeoff
1149,exact,6822,0.586,0.097,0.534,0.484,0.722,0.607,0.573,0.798,0.579,anti-capture-majority-bundle,Majority + anti-capture bundle,constitutional-remand,Constitutional remand before invalidation,real-time-transparency,Real-time transparency,balanced tradeoff
1150,exact,6836,0.586,0.097,0.534,0.485,0.715,0.607,0.583,0.800,0.579,anti-capture-majority-bundle,Majority + anti-capture bundle,constitutional-council,Pre-enactment constitutional council,real-time-transparency,Real-time transparency,balanced tradeoff
1151,exact,6850,0.586,0.094,0.503,0.503,0.718,0.632,0.571,0.765,0.615,harm-weighted-majority,Harm-weighted double majority,term-limited-balanced,18-year staggered terms + regular appointments,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1152,exact,6863,0.586,0.097,0.588,0.514,0.645,0.603,0.493,0.829,0.601,citizen-initiative-referendum,Citizen initiative and referendum,current-us-like,Stylized current U.S.-like supreme court,democracy-vouchers,Democracy vouchers,balanced tradeoff
1153,exact,6866,0.586,0.097,0.527,0.476,0.715,0.633,0.546,0.821,0.608,influence-system-majority,Campaign-finance influence system,supermajority-review,60 percent invalidation threshold,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1154,exact,6867,0.586,0.102,0.766,0.476,0.554,0.512,0.461,0.829,0.509,default-pass,Default pass unless 2/3 block,current-us-like,Stylized current U.S.-like supreme court,public-finance-outside-spending-leakage,Public-finance outside-spending leakage,strong delivery; weak subsystem floor
1155,exact,6875,0.586,0.094,0.493,0.485,0.745,0.623,0.604,0.755,0.608,citizen-assembly-threshold,Citizen assembly threshold gate,emergency-integrity-package,Emergency integrity package,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1156,exact,6878,0.586,0.094,0.521,0.514,0.691,0.629,0.564,0.760,0.603,district-population-majority,District-population public-will model,jurisdiction-stripping-constraints,Jurisdiction stripping constrained by rights carveouts,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1157,exact,6902,0.586,0.094,0.534,0.506,0.675,0.658,0.503,0.774,0.623,anti-capture-majority-bundle,Majority + anti-capture bundle,current-us-like,Stylized current U.S.-like supreme court,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1158,exact,6906,0.586,0.095,0.452,0.510,0.761,0.628,0.622,0.756,0.625,committee-amendment-majority,Committee amendment and revision power,emergency-restraint-court,No emergency relief without merits review,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
1159,exact,6909,0.586,0.094,0.521,0.513,0.693,0.629,0.561,0.760,0.603,district-population-majority,District-population public-will model,nonpartisan-commission,Nonpartisan commission appointments,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1160,exact,6915,0.586,0.094,0.521,0.513,0.696,0.629,0.556,0.757,0.603,district-population-majority,District-population public-will model,mandatory-written-emergency-reasoning,Mandatory written emergency reasoning,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1161,exact,6916,0.585,0.094,0.484,0.506,0.733,0.634,0.600,0.711,0.611,public-objection-majority,Public objection window + majority,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1162,exact,6929,0.585,0.093,0.484,0.507,0.725,0.634,0.611,0.716,0.611,public-objection-majority,Public objection window + majority,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1163,exact,6944,0.585,0.094,0.521,0.516,0.690,0.629,0.561,0.760,0.603,district-population-majority,District-population public-will model,accountability-retention-court,Retention-election accountability court,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1164,exact,6946,0.585,0.094,0.485,0.513,0.736,0.618,0.595,0.751,0.615,committee-regular-order,Committee-first regular order,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1165,exact,6954,0.585,0.094,0.485,0.514,0.727,0.618,0.607,0.757,0.615,committee-regular-order,Committee-first regular order,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1166,exact,6955,0.585,0.095,0.527,0.507,0.724,0.576,0.609,0.762,0.576,influence-system-majority,Campaign-finance influence system,emergency-restraint-court,No emergency relief without merits review,bundle-with-evasion,Anti-capture bundle with evasion,balanced tradeoff
1167,exact,6963,0.585,0.094,0.503,0.502,0.720,0.632,0.565,0.765,0.615,harm-weighted-majority,Harm-weighted double majority,supermajority-review,60 percent invalidation threshold,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1168,exact,6970,0.585,0.094,0.521,0.513,0.693,0.629,0.558,0.759,0.603,district-population-majority,District-population public-will model,recusal-and-emergency-reform,Peer recusal + reasoned emergency docket,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1169,exact,6971,0.585,0.096,0.527,0.482,0.724,0.606,0.591,0.786,0.578,influence-system-majority,Campaign-finance influence system,emergency-restraint-court,No emergency relief without merits review,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1170,exact,6976,0.585,0.094,0.521,0.515,0.689,0.629,0.562,0.759,0.603,district-population-majority,District-population public-will model,legislative-override,Judicial review with legislative supermajority override,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1171,exact,6980,0.585,0.094,0.521,0.515,0.690,0.629,0.561,0.759,0.603,district-population-majority,District-population public-will model,legislative-override-window,Time-limited legislative override window,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1172,exact,6986,0.585,0.096,0.611,0.505,0.653,0.582,0.488,0.789,0.582,risk-routed-majority,Risk-routed majority legislature,current-us-like,Stylized current U.S.-like supreme court,democracy-vouchers,Democracy vouchers,balanced tradeoff
1173,exact,6990,0.585,0.094,0.484,0.507,0.730,0.634,0.599,0.717,0.611,public-objection-majority,Public objection window + majority,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1174,exact,6992,0.585,0.095,0.452,0.510,0.759,0.628,0.623,0.749,0.625,committee-amendment-majority,Committee amendment and revision power,emergency-integrity-package,Emergency integrity package,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
1175,exact,6993,0.585,0.094,0.521,0.513,0.693,0.629,0.555,0.765,0.603,district-population-majority,District-population public-will model,term-limited-balanced,18-year staggered terms + regular appointments,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1176,exact,7009,0.585,0.094,0.461,0.511,0.754,0.626,0.610,0.751,0.623,committee-discharge-target-majority,Committee discharge-petition target,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
1177,exact,7012,0.585,0.094,0.485,0.513,0.733,0.618,0.595,0.757,0.615,committee-regular-order,Committee-first regular order,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1178,exact,7015,0.585,0.094,0.499,0.484,0.739,0.623,0.592,0.759,0.608,random-public-review-panel-majority,Random public review panel + majority,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1179,exact,7019,0.585,0.095,0.511,0.482,0.722,0.630,0.590,0.769,0.590,anti-capture-access-majority,Anti-capture proposal access + majority,emergency-integrity-package,Emergency integrity package,randomized-audit-sanctions,Randomized audit and sanctions,balanced tradeoff
1180,exact,7027,0.585,0.094,0.485,0.514,0.726,0.618,0.605,0.759,0.615,committee-regular-order,Committee-first regular order,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1181,exact,7042,0.585,0.094,0.493,0.510,0.724,0.619,0.596,0.759,0.607,proportional-committee-assignment-majority,Majority + proportional committee assignment,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1182,exact,7051,0.585,0.096,0.527,0.482,0.722,0.606,0.592,0.778,0.578,influence-system-majority,Campaign-finance influence system,emergency-integrity-package,Emergency integrity package,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1183,exact,7087,0.585,0.096,0.534,0.484,0.712,0.619,0.558,0.788,0.578,anti-capture-majority-bundle,Majority + anti-capture bundle,accountability-retention-court,Retention-election accountability court,audit-and-sanctions,Audit and sanctions,balanced tradeoff
1184,exact,7091,0.585,0.094,0.521,0.511,0.695,0.629,0.549,0.765,0.603,district-population-majority,District-population public-will model,supermajority-review,60 percent invalidation threshold,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1185,exact,7106,0.585,0.094,0.493,0.485,0.744,0.623,0.593,0.759,0.608,citizen-assembly-threshold,Citizen assembly threshold gate,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
1186,exact,7123,0.584,0.095,0.461,0.511,0.755,0.626,0.605,0.733,0.623,committee-discharge-target-majority,Committee discharge-petition target,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,strong rights screen
1187,exact,7138,0.584,0.094,0.461,0.512,0.747,0.626,0.616,0.739,0.623,committee-discharge-target-majority,Committee discharge-petition target,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
1188,exact,7143,0.584,0.094,0.499,0.485,0.733,0.623,0.599,0.747,0.608,random-public-review-panel-majority,Random public review panel + majority,council-concrete-hybrid,Constitutional council with concrete-review backstop,budgeted-disclosed-lobbying,Budgeted disclosed lobbying,balanced tradeoff
